ciudad,fecha,nt_30
Barcelona,2010-1,0.0
Barcelona,2010-2,0.0
Barcelona,2010-3,0.0
Barcelona,2010-4,0.0
Barcelona,2010-5,0.0
Barcelona,2010-6,1.0
Barcelona,2010-7,12.0
Barcelona,2010-8,8.0
Barcelona,2010-9,2.0
Barcelona,2010-10,0.0
Barcelona,2010-11,0.0
Barcelona,2010-12,0.0
Barcelona,2010-13,23.0
Barcelona,2011-1,0.0
Barcelona,2011-2,0.0
Barcelona,2011-3,0.0
Barcelona,2011-4,0.0
Barcelona,2011-5,0.0
Barcelona,2011-6,5.0
Barcelona,2011-7,2.0
Barcelona,2011-8,11.0
Barcelona,2011-9,4.0
Barcelona,2011-10,0.0
Barcelona,2011-11,0.0
Barcelona,2011-12,0.0
Barcelona,2011-13,22.0
Barcelona,2012-1,0.0
Barcelona,2012-2,0.0
Barcelona,2012-3,0.0
Barcelona,2012-4,0.0
Barcelona,2012-5,0.0
Barcelona,2012-6,6.0
Barcelona,2012-7,7.0
Barcelona,2012-8,14.0
Barcelona,2012-9,2.0
Barcelona,2012-10,0.0
Barcelona,2012-11,0.0
Barcelona,2012-12,0.0
Barcelona,2012-13,29.0
Barcelona,2013-1,0.0
Barcelona,2013-2,0.0
Barcelona,2013-3,0.0
Barcelona,2013-4,0.0
Barcelona,2013-5,0.0
Barcelona,2013-6,1.0
Barcelona,2013-7,10.0
Barcelona,2013-8,8.0
Barcelona,2013-9,0.0
Barcelona,2013-10,0.0
Barcelona,2013-11,0.0
Barcelona,2013-12,0.0
Barcelona,2013-13,19.0
Barcelona,2014-1,0.0
Barcelona,2014-2,0.0
Barcelona,2014-3,0.0
Barcelona,2014-4,0.0
Barcelona,2014-5,0.0
Barcelona,2014-6,0.0
Barcelona,2014-7,6.0
Barcelona,2014-8,4.0
Barcelona,2014-9,3.0
Barcelona,2014-10,0.0
Barcelona,2014-11,0.0
Barcelona,2014-12,0.0
Barcelona,2014-13,13.0
Barcelona,2015-1,0.0
Barcelona,2015-2,0.0
Barcelona,2015-3,0.0
Barcelona,2015-4,0.0
Barcelona,2015-5,3.0
Barcelona,2015-6,9.0
Barcelona,2015-7,21.0
Barcelona,2015-8,12.0
Barcelona,2015-9,0.0
Barcelona,2015-10,0.0
Barcelona,2015-11,0.0
Barcelona,2015-12,0.0
Barcelona,2015-13,45.0
Barcelona,2016-1,0.0
Barcelona,2016-2,0.0
Barcelona,2016-3,0.0
Barcelona,2016-4,0.0
Barcelona,2016-5,0.0
Barcelona,2016-6,6.0
Barcelona,2016-7,14.0
Barcelona,2016-8,14.0
Barcelona,2016-9,7.0
Barcelona,2016-10,0.0
Barcelona,2016-11,0.0
Barcelona,2016-12,0.0
Barcelona,2016-13,41.0
Barcelona,2017-1,0.0
Barcelona,2017-2,0.0
Barcelona,2017-3,0.0
Barcelona,2017-4,0.0
Barcelona,2017-5,1.0
Barcelona,2017-6,12.0
Barcelona,2017-7,14.0
Barcelona,2017-8,15.0
Barcelona,2017-9,1.0
Barcelona,2017-10,0.0
Barcelona,2017-11,0.0
Barcelona,2017-12,0.0
Barcelona,2017-13,43.0
Barcelona,2018-1,0.0
Barcelona,2018-2,0.0
Barcelona,2018-3,0.0
Barcelona,2018-4,0.0
Barcelona,2018-5,0.0
Barcelona,2018-6,4.0
Barcelona,2018-7,8.0
Barcelona,2018-8,13.0
Barcelona,2018-9,3.0
Barcelona,2018-10,0.0
Barcelona,2018-11,0.0
Barcelona,2018-12,0.0
Barcelona,2018-13,28.0
Barcelona,2019-1,0.0
Barcelona,2019-2,0.0
Barcelona,2019-3,0.0
Barcelona,2019-4,0.0
Barcelona,2019-5,0.0
Barcelona,2019-6,8.0
Barcelona,2019-7,13.0
Barcelona,2019-8,15.0
Barcelona,2019-9,0.0
Barcelona,2019-10,0.0
Barcelona,2019-11,0.0
Barcelona,2019-12,0.0
Barcelona,2019-13,36.0
Barcelona,2020-1,0.0
Barcelona,2020-2,0.0
Barcelona,2020-3,0.0
Barcelona,2020-4,0.0
Barcelona,2020-5,0.0
Barcelona,2020-6,4.0
Barcelona,2020-7,15.0
Barcelona,2020-8,12.0
Barcelona,2020-9,3.0
Barcelona,2020-10,0.0
Barcelona,2020-11,0.0
Barcelona,2020-12,0.0
Barcelona,2020-13,34.0
