ciudad,fecha,ta_max,ta_min,tm_mes,(,tm_mes,ta_min,ta_max
Barcelona,2002-13,36.4(17/jun),-5.6(12/ene),11.5,,11.5,-5.6,36.4
Barcelona,2003-1,16.6(27),-6.8(14),3.3,,3.3,-6.8,16.6
Barcelona,2003-2,11.5(27),-8.7(16),3.3,,3.3,-8.7,11.5
Barcelona,2003-3,21.8(13),-4.4(18),9.2,,9.2,-4.4,21.8
Barcelona,2003-4,22.0(13),-1.4(10),10.2,,10.2,-1.4,22.0
Barcelona,2003-5,30.4(30),2.6(17),13.3,,13.3,2.6,30.4
Barcelona,2003-6,36.9(22),8.8(11),21.0,,21.0,8.8,36.9
Barcelona,2003-7,36.0(13),8.2(17),21.0,,21.0,8.2,36.0
Barcelona,2003-8,38.8(04),9.2(27),23.4,,23.4,9.2,38.8
Barcelona,2003-9,31.5(18),3.0(10),17.4,,17.4,3.0,31.5
Barcelona,2003-10,24.5(11),-0.6(25),10.7,,10.7,-0.6,24.5
Barcelona,2003-11,19.6(07),-1.0(19),7.6,,7.6,-1.0,19.6
Barcelona,2003-12,11.4(16),-2.8(17),4.2,,4.2,-2.8,11.4
Barcelona,2003-13,38.8(04/ago),-8.7(16/feb),12.1,,12.1,-8.7,38.8
Barcelona,2004-1,13.5(11),-3.6(15),4.9,,4.9,-3.6,13.5
Barcelona,2004-2,18.5(05),-6.8(20),4.0,,4.0,-6.8,18.5
Barcelona,2004-3,19.9(20),-6.5(01),5.6,,5.6,-6.5,19.9
Barcelona,2004-4,23.2(26),-2.3(10),8.0,,8.0,-2.3,23.2
Barcelona,2004-5,26.6(20),-2.4(08),11.9,,11.9,-2.4,26.6
Barcelona,2004-6,34.2(27),6.7(03),18.7,,18.7,6.7,34.2
Barcelona,2004-7,36.2(31),4.0(09),19.8,,19.8,4.0,36.2
Barcelona,2004-8,36.1(01),5.6(21),19.7,,19.7,5.6,36.1
Barcelona,2004-9,31.0(05),2.6(17),17.3,,17.3,2.6,31.0
Barcelona,2004-10,29.1(04),-0.6(13),12.8,,12.8,-0.6,29.1
Barcelona,2004-11,15.6(20),-5.6(25),5.1,,5.1,-5.6,15.6
Barcelona,2004-12,15.2(11),-7.5(28),3.5,,3.5,-7.5,15.2
Barcelona,2004-13,36.2(31/jul),-7.5(28/dic),10.9,,10.9,-7.5,36.2
Barcelona,2005-1,12.8(21),-9.4(10),2.1,,2.1,-9.4,12.8
Barcelona,2005-2,12.7(11),-9.2(25),1.2,,1.2,-9.2,12.7
Barcelona,2005-3,22.8(19),-12.0(01),6.9,,6.9,-12.0,22.8
Barcelona,2005-4,27.0(29),-1.8(17),9.6,,9.6,-1.8,27.0
Barcelona,2005-5,30.7(25),1.0(07),13.9,,13.9,1.0,30.7
Barcelona,2005-6,34.2(18),6.4(05),19.8,,19.8,6.4,34.2
Barcelona,2005-7,37.0(14),7.1(05),20.6,,20.6,7.1,37.0
Barcelona,2005-8,36.5(08),6.0(02),20.0,,20.0,6.0,36.5
Barcelona,2005-9,34.2(03),0.9(19),16.4,,16.4,0.9,34.2
Barcelona,2005-10,25.8(09),-0.8(05),12.9,,12.9,-0.8,25.8
Barcelona,2005-11,16.3(02),-2.4(26),5.7,,5.7,-2.4,16.3
Barcelona,2005-12,13.3(23),-9.4(24),2.8,,2.8,-9.4,13.3
