ciudad,fecha,n_cub,n_gra,n_fog,inso,n_des,n_nub,evap,n_llu,n_tor,n_nie
Cordoba,2009-3,9.0,0.0,1.0,6.3,10.0,12.0,1035.0,11.0,1.0,0.0
Cordoba,2009-4,7.0,0.0,1.0,8.9,4.0,19.0,1520.0,7.0,0.0,0.0
Cordoba,2009-5,4.0,0.0,2.0,10.9,14.0,13.0,2326.0,3.0,2.0,0.0
Cordoba,2009-6,3.0,0.0,0.0,10.0,9.0,18.0,2980.0,2.0,0.0,0.0
Cordoba,2009-7,0.0,0.0,0.0,12.2,21.0,10.0,4208.0,0.0,0.0,0.0
Cordoba,2009-8,1.0,0.0,0.0,11.8,21.0,9.0,3797.0,0.0,0.0,0.0
Cordoba,2009-9,3.0,0.0,0.0,7.7,9.0,18.0,2220.0,5.0,2.0,0.0
Cordoba,2009-10,4.0,0.0,1.0,8.8,11.0,16.0,1488.0,3.0,0.0,0.0
Cordoba,2009-11,5.0,0.0,0.0,6.6,6.0,19.0,1162.0,4.0,0.0,0.0
Cordoba,2009-12,9.0,0.0,8.0,3.4,1.0,21.0,473.0,18.0,3.0,0.0
Cordoba,2009-13,66.0,0.0,20.0,8.1,122.0,177.0,22267.0,79.0,8.0,0.0
Cordoba,2010-1,17.0,0.0,3.0,3.7,3.0,11.0,527.0,16.0,0.0,1.0
Cordoba,2010-2,11.0,0.0,1.0,4.0,3.0,14.0,601.0,20.0,3.0,0.0
Cordoba,2010-3,15.0,0.0,0.0,5.8,2.0,14.0,905.0,12.0,0.0,0.0
Cordoba,2010-4,9.0,0.0,0.0,7.6,6.0,15.0,1368.0,10.0,1.0,0.0
Cordoba,2010-5,2.0,0.0,0.0,11.2,14.0,15.0,2509.0,7.0,1.0,0.0
Cordoba,2010-6,6.0,0.0,0.0,10.1,8.0,16.0,2709.0,7.0,1.0,0.0
Cordoba,2010-7,0.0,0.0,0.0,12.3,25.0,6.0,3861.0,1.0,1.0,0.0
Cordoba,2010-8,2.0,0.0,0.0,10.9,22.0,7.0,3397.0,4.0,1.0,0.0
Cordoba,2010-9,3.0,0.0,0.0,9.1,11.0,16.0,2347.0,5.0,1.0,0.0
Cordoba,2010-10,6.0,0.0,0.0,7.0,8.0,17.0,1283.0,8.0,2.0,0.0
Cordoba,2010-11,11.0,0.0,2.0,5.0,9.0,10.0,480.0,13.0,0.0,0.0
Cordoba,2010-12,16.0,0.0,2.0,3.7,5.0,10.0,553.0,16.0,5.0,0.0
Cordoba,2010-13,98.0,0.0,8.0,7.5,116.0,151.0,20540.0,119.0,16.0,1.0
Cordoba,2011-1,12.0,0.0,6.0,4.1,5.0,14.0,403.0,13.0,3.0,0.0
Cordoba,2011-2,3.0,0.0,1.0,7.5,10.0,15.0,581.0,5.0,1.0,0.0
Cordoba,2011-3,8.0,0.0,0.0,6.2,6.0,17.0,1011.0,12.0,1.0,0.0
Cordoba,2011-4,8.0,0.0,1.0,7.3,11.0,11.0,1480.0,10.0,5.0,0.0
Cordoba,2011-5,3.0,0.0,1.0,9.2,9.0,19.0,1876.0,9.0,4.0,0.0
Cordoba,2011-6,0.0,1.0,0.0,12.1,21.0,9.0,3100.0,1.0,2.0,0.0
Cordoba,2011-7,0.0,0.0,0.0,12.0,25.0,6.0,4028.0,0.0,0.0,0.0
Cordoba,2011-8,2.0,0.0,0.0,11.1,21.0,8.0,3618.0,1.0,0.0,0.0
Cordoba,2011-9,2.0,0.0,0.0,9.1,17.0,11.0,2482.0,2.0,1.0,0.0
